"DATASET","SERIES_CODE","OBS_MEASURE","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:ESG_FINANCE(2.0.3)","USA.SULBI_USD.A","OBS_VALUE","","","","","","","","","","","1.8","13.10289769","13.82","3.097908",""
"IMF.STA:ESG_FINANCE(2.0.3)","PHL.SSSBI_USD.A","OBS_VALUE","","","","","","","","","","","","","2.219356507","1.25","1.9"
"IMF.STA:ESG_FINANCE(2.0.3)","IND.GBI_USD.A","OBS_VALUE","","","","","","0.721164751","0.687070514","2.022929623","","3.53225286","0.934276147","4.609817069","1.229101575","4.660998933","9.109669136"
"IMF.STA:ESG_FINANCE(2.0.3)","CIV.SBI_USD.A","OBS_VALUE","","","","","","","0.05","0.6560563","1.325437474","0.134492326","3.354561674","0.862093937","1.613206818","0.378897912","4.163693805"
"IMF.STA:ESG_FINANCE(2.0.3)","LUX.GBI_USD.A","OBS_VALUE","0.305852661","","0.557479158","3.43224548","6.024796731","3.377571738","7.686361525","7.102313132","7.928896231","8.263299601","12.52630761","18.05902385","19.57232586","14.26209585","28.88388337"
"IMF.STA:ESG_FINANCE(2.0.3)","LVA.SSSBI_USD.A","OBS_VALUE","","","","","","","","","","","","0.627477227","","",""
"IMF.STA:ESG_FINANCE(2.0.3)","LTU.SULBI_USD.A","OBS_VALUE","","","","","","","","","","","","","0.078434653","",""
"IMF.STA:ESG_FINANCE(2.0.3)","G001.SUBOI_USD.A","OBS_VALUE","0.052874803","0.052874803","0.052874803","0.57742369","1.830313102","3.949451871","9.538891811","27.20197778","68.33262332","146.0421385","318.1666691","539.8981977","703.3808958","853.1308114","1004.118085"
"IMF.STA:ESG_FINANCE(2.0.3)","ROU.SUBI_USD.A","OBS_VALUE","","","","","","","","","","","","","0.276536664","0.873477837","0.732056765"
"IMF.STA:ESG_FINANCE(2.0.3)","BEL.GBI_USD.A","OBS_VALUE","","","","","","","","","12.91767577","","1.37694713","22.40627058","50.10719402","4.251240772","22.56303531"
"IMF.STA:ESG_FINANCE(2.0.3)","LVA.GBI_USD.A","OBS_VALUE","","","","","","0.1036205","0.025905125","0.020985918","","","","0.156869305","0.104579537","0.052289768",""
"IMF.STA:ESG_FINANCE(2.0.3)","CHL.SSSBI_USD.A","OBS_VALUE","","","","","","","","","","","","5.092373592","5.061244415","",""
"IMF.STA:ESG_FINANCE(2.0.3)","NLD.SULBI_USD.A","OBS_VALUE","","","","","","","","","","5.61148943","0.63149652","23.17114918","25.44757943","6.015238279","6.875937291"
"IMF.STA:ESG_FINANCE(2.0.3)","UZB.SUBI_USD.A","OBS_VALUE","","","","","","","","","","","","0.387236678","","","2.404333334"
"IMF.STA:ESG_FINANCE(2.0.3)","CHL.SSBI_USD.A","OBS_VALUE","","","","","","","","","","","1.697991063","14.35800543","","5.462416029","7.327241129"
"IMF.STA:ESG_FINANCE(2.0.3)","NAM.GBI_USD.A","OBS_VALUE","","","","","","","","","0.003583548","","","","","",""
"IMF.STA:ESG_FINANCE(2.0.3)","JPN.SGBIC_USD.A","OBS_VALUE","","","","","","","","","","","","","","","20.08372965"
"IMF.STA:ESG_FINANCE(2.0.3)","JOR.SUBI_USD.A","OBS_VALUE","","","","","","","","","","","","","","0.25",""
"IMF.STA:ESG_FINANCE(2.0.3)","LUX.SSSBI_USD.A","OBS_VALUE","","","","","","","","","","","1.568693069","","","",""
"IMF.STA:ESG_FINANCE(2.0.3)","BLR.SGBIC_USD.A","OBS_VALUE","","","","","","","","","","","","","0.056388539","",""
"IMF.STA:ESG_FINANCE(2.0.3)","LTU.SGBIC_USD.A","OBS_VALUE","","","","","","","","","0.071114085","","","","","",""
