"Economy","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Botswana","$2.80473e+007","$4.64655e+007","$7.55637e+007","$5.56228e+007","$3.82192e+007","$1.78146e+007","$2.06426e+007","$3.68457e+007","$4.11283e+007","$4.76799e+007","$2.58016e+007","$2.48459e+007","$1.23697e+007","$1.90303e+007","-","$1.54784e+008","-","$6.74397e+007","$9.81129e+007","$8.43186e+007","$9.91225e+007","$1.07567e+008","$8.69221e+007","-","$1.43079e+007","$1.06595e+008","$8.74606e+007","$1.01262e+008","$4.06511e+007","-","$9.54751e+007","$7.9153e+007","$7.09868e+007","-","$4.65302e+007","-"
"Brazil","$2.22837e+009","$3.03744e+009","$3.18076e+009","$3.27972e+009","$3.74154e+009","$4.39411e+009","$6.76674e+009","$6.93043e+009","$1.05989e+010","$6.62983e+009","$8.85246e+009","$6.52542e+009","$5.20548e+009","$2.92208e+009","$4.74403e+009","$6.36945e+009","$5.77999e+009","$7.77546e+009","$1.46136e+010","$9.53406e+009","$8.80449e+009","$9.9509e+009","$8.42816e+009","-","-","$5.22595e+009","$6.50715e+009","$6.61355e+009","$7.35166e+009","$7.07184e+009","$4.94483e+009","$7.75362e+009","$5.72411e+009","$5.10948e+009","$3.25689e+009","-"
"British Virgin Islands","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","$7.03881e+006","$3.42094e+006","-","-","-","$4.96e+006","-","$1.4094e+007","$1.71e+007","$1.2051e+007","-","-","-","-","$6.72462e+006","$4.05774e+006","-"
"Brunei Darussalam","-","$8.74566e+006","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","$4.12777e+007","$6.74614e+007","$3.37189e+007","-","-","-","$6.91297e+007","$6.82051e+007","-"
"Bulgaria","-","$3.7666e+007","$2.58571e+007","$3.34063e+007","$4.7863e+007","$5.03201e+007","$6.52744e+007","$6.13147e+007","$7.1756e+007","$7.11277e+007","$5.43547e+007","$2.91533e+008","$4.07325e+008","$3.50289e+008","$3.66918e+008","$6.00623e+008","$5.22526e+008","$7.36717e+008","$5.92446e+008","$4.06198e+008","$5.4129e+008","$5.10446e+008","$3.60316e+008","$3.55719e+008","$4.03919e+008","$2.97892e+008","$2.71023e+008","$2.38504e+008","$2.64369e+008","$2.43462e+008","$2.5061e+008","$3.43054e+008","$3.51424e+008","$3.71846e+008","$3.74133e+008","-"
"Burkina Faso","$1.38285e+007","$1.70858e+007","$1.93056e+007","$2.2691e+007","$1.18099e+007","$1.18862e+007","$2.11123e+007","$2.5439e+007","$1.53132e+007","$1.56797e+007","$1.95553e+007","$1.93727e+007","$2.40133e+007","$8.0382e+007","$1.69982e+008","$1.07002e+008","$2.02639e+008","-","-","$1.17981e+008","-","$9.34128e+007","$9.35059e+007","$8.09688e+007","$5.82982e+007","-","$8.6673e+007","$1.00203e+008","$1.26141e+008","-","$9.11459e+007","-","-","-","-","-"
"Burundi","$7.804e+006","$1.03282e+006","$834119","-","$7.32841e+006","$2.3384e+006","$3.38913e+006","$576499","$2.34497e+006","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","$3.62531e+007","$6.90553e+006","-","$9.34488e+006","-","$6.6054e+006","$7.3095e+006","$5.58293e+006","$3.20509e+006","$2.53303e+006","-","-"
"Cabo Verde","$2.57182e+006","$2.82124e+006","$7.21336e+006","$7.08683e+006","$5.65387e+006","$4.73631e+006","$1.55101e+007","$1.59911e+007","$1.1522e+007","$1.56519e+007","$1.31318e+007","$1.16045e+007","$1.48761e+007","$7.85237e+006","$8.86407e+006","$8.63649e+006","$1.5902e+007","-","-","-","-","$5.13637e+007","$3.43693e+007","-","$1.52203e+007","$2.97054e+007","$2.04717e+007","$2.25282e+007","$1.98348e+007","$2.48192e+007","$2.05226e+007","$2.40308e+007","$2.05778e+007","$1.66465e+007","$1.95933e+007","-"
"Cambodia","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","$4.28972e+008","-","-","-","-","-","$4.36001e+008","$4.22e+008","$1.01971e+008","$3.33584e+008","$4.08085e+007","$1.50216e+008","$1.43936e+008","$1.7012e+008","$1.53355e+008","-"
"Cameroon","$5.26666e+007","$5.13637e+007","$6.44905e+007","-","$2.55489e+007","$3.30562e+007","$3.51872e+007","$3.56366e+007","-","-","$8.31639e+007","$4.39362e+007","$8.01547e+007","$1.11165e+008","$1.29296e+008","$1.46056e+008","$2.11366e+008","-","-","-","$2.31992e+008","$2.15626e+008","-","-","$4.00308e+008","$5.02838e+008","$3.90496e+008","$5.24549e+008","$3.21493e+008","$1.51412e+008","$1.92477e+008","$2.61828e+008","$4.04117e+008","$2.23664e+008","$2.41148e+008","-"
